Global_Sales,NA_Sales
82.53,41.36
40.24,29.08
35.52,15.68
32.77,15.61
31.37,11.27
30.26,23.2
29.8,11.28
28.92,13.96
28.32,14.44
28.31,26.93
24.67,9.05
23.21,9.71
23.1,9
22.7,8.92
21.81,15
21.79,9.01
21.04,7.02
20.81,9.43
20.61,12.78
20.15,4.74
18.25,6.38
18.14,10.83
17.28,9.54
16.27,9.66
16.15,8.41
15.85,6.06
15.29,3.43
15.14,5.51
14.98,6.85
14.73,9.04
14.64,5.89
14.63,6.03
14.61,9.7
14.6,5.28
13.79,4.99
13.67,8.25
13.47,8.52
13.32,5.54
13.1,6.99
12.84,6.62
12.66,5.03
12.63,5.99
12.61,3.96
12.13,2.5
12.12,7.97
11.89,6.91
11.77,4.34
11.68,4.35
11.66,3.01
11.35,6.06
11.18,6.16
11.01,6.76
10.95,4.02
10.81,4.89
10.7,2.96
10.6,4.99
10.55,5.99
10.5,4.76
10.49,4.34
10.3,5.01
10.25,6.73
10.12,5.95
9.9,3.66
9.87,5.55
9.86,7.04
9.72,3.01
9.71,6.65
9.49,3.88
9.44,5.8
9.36,4.1
9.31,5.93
9.3,4.36
9.18,5.7
9.16,2.03
8.91,4.4
8.79,5.05
8.76,3.54
8.57,1.12
8.49,6.82
8.38,1.75
8.27,3.74
8.16,1.06
8.09,5.8
8.07,2.79
8.05,2.91
8.01,0.99
7.99,2.57
7.98,2.99
7.86,2.28
7.81,7.28
7.72,2.76
7.69,2.9
7.66,2.81
7.6,4.1
7.59,0.66
7.58,3.78
7.55,3.27
7.51,3.56
7.46,5.39
7.39,4.59
7.38,4.81
7.32,4.46
7.2,3.27
7.2,3.48
7.17,2.85
7.16,2.53
7.16,3.27
7.15,3.74
7.14,2.98
7.13,3.68
7.09,3.15
7.07,4.41
6.95,4.12
6.9,2.71
6.83,2.93
6.82,3.23
6.76,4.05
6.75,4.15
6.74,2.77
6.71,3.45
6.68,3.11
6.66,3.27
6.65,0.84
6.62,1.66
6.51,3.74
6.49,2.79
6.47,0.78
6.45,2.64
6.44,3.17
6.43,4.98
6.41,2.55
6.41,2.57
6.4,3.64
6.39,2.55
6.34,4.34
6.32,3.7
6.31,4.01
6.3,2.47
6.29,0.08
6.27,3.11
6.21,4.05
6.19,3.92
6.09,3.54
6.08,0.8
6.05,2.45
6.03,4.47
6.03,3.18
5.99,2.63
5.95,1.88
5.87,2.41
5.82,2.8
5.82,1.88
5.78,0.63
5.74,2.26
5.64,2.49
5.64,3.57
5.63,3.07
5.58,2.97
5.55,2.95
5.55,2.54
5.54,3.28
5.49,2.99
5.49,3.14
5.48,0.47
5.48,2.71
5.48,2.81
5.47,2.62
